,Movie,Duration,Date,Pickedby,,Average,Rank,,Derek,Daniel,DP,Nick,Austin,Connor,Basil,Mike V,Gil,Will,Guest,,Standard Dev,IMDB Rating,Disparity,
,Birdman or (The Unexpected Virtue of Ignorance),119,4/9/2021,Nick,,8.61,15,,9.2,8.6,8,9,9,9,9,9,8.8,6.5,x,,0.814,7.7,0.9,
,Splinter,82,4/10/2021,DP,,5.50,193,,4.5,5,5,5,6,5.5,7,6,x,x,x,,0.802,6.1,0.6,
,Shin Godzilla,120,4/17/2021,Connor,,7.47,84,,7.4,7.5,7.5,6.2,7.66,8,8,x,7.5,7.5,x,,0.527,6.8,0.7,
,Bad Trip,84,4/17/2021,Derek,,7.34,93,,7.7,7.8,7.5,7.5,7.25,7.5,7.5,x,6,x,,,0.567,6.6,0.7,
,Seven Psychopaths,110,4/23/2021,Guest,,6.50,159,,6.7,6,6,6.5,6.33,4.5,x,7,7,8.5,6.5,,1.004,7.2,0.7,
,Looper,113,4/30/2021,Will,,6.83,146,,7,7,7.5,6.5,7.66,5.5,fp,x,6.5,7,x,,0.677,7.4,0.6,
,Napoleon Dynamite,96,5/1/2021,Basil,,6.87,143,,7,7.8,5,8.3,5.75,8,8,x,8,4,x,,1.571,6.9,0.0,
,Stranger Than Paradise,89,5/2/2021,AHS,,7.02,128,,7.5,5.6,5.5,7.5,x,9,x,x,x,x,x,,1.475,7.5,0.5,
,Sorcerer,121,5/7/2021,Dan,,8.11,35,,8.49,7.9,7.5,7.6,8.75,8,8.5,x,x,x,x,,0.482,7.7,0.4,
,Conspiracy,96,5/14/2021,Dan,,6.38,165,,6,7,4.5,7,7.5,5.5,x,x,8.5,5,x,,1.356,7.7,1.3,
,Akira,124,5/21/2021,DP,,8.26,28,,8.4,8.4,8,8,8.5,8,fp,9,8,8,x,,0.350,8,0.3,
,The Trial of the Chicago 7,129,5/28/2021,Guest,,6.72,149,,6.5,6,7,6,6.5,6,x,x,8.5,7,7,,0.795,7.8,1.1,
,Trollhunter,103,5/29/2021,Dan,,6.98,135,,6.9,7,7,x,7,x,x,x,x,x,x,,0.050,7,0.0,
,Barton Fink,116,5/30/2021,Connor,,8.28,27,,7.5,8.1,8,9,8.33,9,x,x,8,x,x,,0.553,7.7,0.6,
,My Name Is Khan,165,6/4/2021,Basil,,7.44,87,,7.5,7.5,8,6.5,7.33,6.5,8.8,8,8.75,5,8,,1.107,8,0.6,
,The Conjuring: The Devil Made Me Do It,112,6/5/2021,Derek,,4.02,226,,4.6,3.5,4,fp,x,x,x,5,x,3,fp,,0.807,5.9,1.9,
,Cobra Verde,111,6/13/2021,AHS,,4.18,220,,3,2.2,3.5,6.2,x,6,x,x,x,x,x,,1.814,7,2.8,
,Mad Max: Fury Road,120,6/18/2021,Derek,,7.68,60,,7.8,7.6,7.5,7.8,7.75,8,x,x,8,7,x,,0.325,8.1,0.4,
,Dead End,85,6/19/2021,DP,,5.22,201,,x,x,5.5,y,6.33,4.5,5,6,x,4,x,,0.892,6.6,1.4,
,Days of Heaven,94,6/23/2021,Connor,,7.16,111,,x,x,6,7.8,x,8.5,x,x,7,6.5,x,,1.001,7.8,0.6,
,Sin City,124,6/25/2021,Mike V,,7.19,109,,7.5,7.5,7,7,7,7,x,7.5,x,7,x,,0.259,8,0.8,
,Barry Lyndon,185,7/1/2021,Connor,,7.80,55,,8,7.8,6,9,8,10,x,x,7.5,6.5,7.4,,1.201,8.1,0.3,
,Brazil,132,7/9/2021,Austin,,7.96,41,,7.5,8.8,5.5,8,8.66,8,9.2,x,x,8,x,,1.134,7.9,0.1,
,Hara-kiri,133,7/16/2021,Mike V,,7.30,99,,8.3,7.8,4.5,7.1,8.5,7,x,8,8,6.5,x,,1.239,6.3,1.0,
,Exam,101,7/23/2021,Dan,,3.76,229,,3.9,3.5,5.5,5,3.66,2.5,fp,x,fp,3.5,2.5,,1.063,6.8,3.0,
,The Holy Mountain,114,7/30/2021,Connor,,5.60,192,,2,4,1,10,5,9,x,8,4.5,9.5,3,,3.281,6.8,1.2,
,Groundhog Day,101,7/31/2021,Austin,,8.12,32,,7.5,7.9,7.5,7.8,8.75,x,8.9,8.5,x,x,x,,0.587,8,0.1,
,Beyond The Black Rainbow,110,8/7/2021,Austin,,6.12,175,,5.9,fp,3,6,8.33,7,x,x,fp,6.5,x,,1.766,6,0.1,
,The Girl With The Dragon Tattoo,158,8/13/2021,DP,,7.61,68,,7.9,7.8,8,8,7.25,7,x,8,x,6.9,x,,0.475,7.8,0.2,
,The Orphanage,15,8/14/2021,DP,,4.28,218,,4,4,4.5,4,4.66,x,x,4.5,x,x,x,,0.309,7.5,3.2,
,Birds of Passage,115,8/20/2021,Gil,,7.04,126,,7,6,6,7.5,x,7,x,x,8.75,7,x,,0.940,7,0.0,
,The House That Jack Built,152,8/27/2021,Will,,5.69,188,,6.5,6,4,5.8,x,5.5,x,6,x,6,x,,0.801,6.8,1.1,
,Evangelion: 1.0 You Are (Not) Alone,98,8/28/2021,DP,,7.44,89,,7,x,8,7,7.75,,x,x,x,x,x,,0.515,7.7,0.3,
,Capernaum,26,9/3/2021,Derek,,7.34,94,,7.8,7.9,6.5,8,x,6.5,x,x,x,x,x,,0.770,7,0.3,
,Army of Darkness,81,9/4/2021,Mike V,,6.31,168,,6,6.5,x,6.2,7.66,4.5,x,7,x,x,x,,1.069,7.5,1.2,
,Fantastic Planet,72,9/10/2021,Austin,,7.94,44,,8.7,9.3,4,9,9,8.5,x,7.5,7.5,x,x,,1.728,7.8,0.1,
,Malignant,111,9/11/2021,Derek,,5.75,183,,5,x,6.5,x,5.75,x,fp,x,x,x,5.75,,0.612,6.3,0.6,
,The Green Knight,130,9/11/2021,Dan,,5.25,200,,x,4,x,fp,x,fp,x,6.5,x,x,x,,1.768,6.7,1.5,
,Deliverance,109,9/12/2021,Nick,,6.10,176,,7,6,6,6.5,x,5,x,x,x,x,x,,0.742,7.7,1.6,
,Hard to Be a God,177,9/17/2021,Nick,,3.52,231,,2.5,2.1,1,5,6.5,4,fp,x,x,x,x,,2.035,6.7,3.2,
,Mother,104,9/18/2021,Mike V,,7.88,50,,7,6,7.5,8,9.66,8,x,9,,,,,1.218,6.9,1.0,
,Ying,116,9/24/2021,Basil,,5.73,186,,5.5,4,6,5.8,6.33,5.5,7,,,,,,0.926,7,1.3,
,,,,,,,,,5.9.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,   ,,,,,,,,,,,,,,,,,,,,
